published_date,NEGATIVE,POSITIVE
2021-11-01,5,1
2021-11-02,5,1
2021-11-03,3,0
2021-11-04,5,1
2021-11-05,5,1
2021-11-06,4,0
2021-11-07,0,1
2021-11-09,7,1
2021-11-10,6,2
2021-11-11,1,2
2021-11-12,7,1
2021-11-13,2,1
2021-11-14,1,3
2021-11-15,1,0
2021-11-16,4,2
2021-11-17,4,0
2021-11-18,1,1
2021-11-19,2,2
2021-11-20,3,1
2021-11-21,0,1
2021-11-22,6,1
2021-11-23,2,2
2021-11-25,2,1
2021-11-26,0,1
2021-11-27,1,4
2021-11-29,0,1
2021-11-30,1,0
2021-12-01,4,1
2021-12-02,4,3
2021-12-03,3,3
2021-12-04,3,2
2021-12-05,0,2
2021-12-06,5,1
2021-12-07,3,2
2021-12-08,1,2
2021-12-09,0,2
2021-12-10,3,0
2021-12-11,0,2
2021-12-13,0,1
2021-12-14,1,0
2021-12-15,3,1
2021-12-16,2,1
2021-12-17,6,1
2021-12-18,1,0
2021-12-20,0,2
2021-12-21,2,1
2021-12-22,2,1
2021-12-23,2,1
2021-12-24,4,1
2021-12-27,0,1
2021-12-28,2,0
2021-12-29,1,0
2021-12-30,3,1
2021-12-31,2,3
2022-01-01,1,0
2022-01-03,0,1
2022-01-05,2,0
2022-01-06,3,1
2022-01-07,2,2
2022-01-08,1,0
2022-01-09,1,2
2022-01-11,1,0
2022-01-12,1,1
2022-01-13,1,0
2022-01-14,0,1
2022-01-15,1,0
2022-01-16,1,0
2022-01-17,1,0
2022-01-18,3,0
2022-01-19,1,1
2022-01-20,1,1
2022-01-21,0,1
2022-01-22,1,1
2022-01-23,1,0
2022-01-24,1,0
2022-01-25,7,1
2022-01-26,4,2
2022-01-27,1,2
2022-01-28,2,0
2022-01-29,0,2
2022-01-30,1,0
2022-01-31,3,1
2022-02-01,2,0
2022-02-02,8,0
2022-02-04,2,0
2022-02-05,0,1
2022-02-06,0,2
2022-02-08,0,1
2022-02-10,6,0
2022-02-11,2,0
2022-02-12,2,0
2022-02-13,2,2
2022-02-14,7,0
2022-02-15,3,0
2022-02-16,3,2
2022-02-17,1,2
2022-02-18,1,1
2022-02-19,3,0
2022-02-20,2,2
2022-02-21,3,2
2022-02-22,2,1
2022-02-23,1,0
2022-02-24,16,9
2022-02-25,9,11
2022-02-26,0,3
2022-02-27,2,0
2022-02-28,9,2
2022-03-01,8,7
2022-03-02,13,8
2022-03-03,7,4
2022-03-04,12,7
2022-03-05,6,1
2022-03-06,0,1
2022-03-07,2,6
2022-03-08,1,2
2022-03-09,2,3
2022-03-10,7,5
2022-03-11,3,3
2022-03-12,2,3
2022-03-13,1,3
2022-03-14,4,6
2022-03-15,1,6
2022-03-16,4,14
2022-03-17,2,6
2022-03-18,11,5
2022-03-19,5,7
2022-03-20,2,2
2022-03-21,5,7
2022-03-22,3,0
2022-03-23,0,1
2022-03-24,1,2
2022-03-25,1,2
2022-03-26,1,1
2022-03-27,0,2
2022-03-28,1,2
2022-03-29,0,1
2022-03-30,2,6
2022-03-31,7,4
2022-04-01,1,1
2022-04-02,3,2
2022-04-03,0,2
2022-04-04,1,0
2022-04-05,1,1
2022-04-06,2,2
2022-04-07,0,2
2022-04-08,7,9
2022-04-09,1,1
2022-04-11,5,4
2022-04-12,3,2
2022-04-13,8,7
2022-04-14,3,0
2022-04-15,3,3
2022-04-16,2,3
2022-04-17,2,2
2022-04-18,2,0
2022-04-19,1,2
2022-04-20,3,4
2022-04-21,7,2
2022-04-22,1,0
2022-04-23,2,0
2022-04-24,0,2
2022-04-25,3,3
2022-04-26,4,5
2022-04-27,7,3
2022-04-28,3,3
2022-04-29,3,1
2022-04-30,3,2
2022-05-01,0,3
2022-05-02,1,1
2022-05-03,5,2
2022-05-04,5,5
2022-05-05,2,2
2022-05-06,0,10
2022-05-07,2,3
2022-05-08,1,2
2022-05-09,2,2
2022-05-10,5,1
2022-05-11,3,0
2022-05-12,4,1
2022-05-13,4,2
2022-05-14,7,1
2022-05-15,5,0
2022-05-16,3,1
2022-05-17,3,3
2022-05-18,2,5
2022-05-19,9,6
2022-05-20,9,5
2022-05-21,6,1
2022-05-22,12,4
2022-05-23,6,6
2022-05-24,16,0
2022-05-25,10,10
2022-05-26,5,3
2022-05-27,6,4
2022-05-28,4,2
2022-05-29,3,5
2022-05-30,11,2
2022-05-31,6,2
2022-06-01,3,1
2022-06-02,5,1
2022-06-03,5,2
2022-06-04,4,2
2022-06-05,5,4
2022-06-06,9,4
2022-06-07,7,6
2022-06-08,21,2
2022-06-09,21,6
2022-06-10,15,7
2022-06-11,18,4
2022-06-12,12,4
2022-06-13,15,0
2022-06-14,10,3
2022-06-15,13,2
2022-06-16,22,5
2022-06-17,18,9
2022-06-18,16,8
2022-06-19,17,4
2022-06-20,49,7
2022-06-21,57,15
2022-06-22,56,20
2022-06-23,33,20
2022-06-24,35,11
2022-06-25,25,10
2022-06-26,12,7
2022-06-27,27,12
2022-06-28,16,17
2022-06-29,23,10
2022-06-30,16,10
2022-07-01,24,11
2022-07-02,18,5
2022-07-03,6,5
2022-07-04,6,8
2022-07-05,13,6
2022-07-06,13,10
2022-07-07,5,7
2022-07-08,5,5
2022-07-09,6,6
2022-07-10,9,1
2022-07-11,6,5
2022-07-12,13,4
2022-07-13,6,4
2022-07-14,17,2
2022-07-15,13,5
2022-07-16,7,7
2022-07-17,7,2
2022-07-18,3,3
2022-07-19,11,4
2022-07-20,12,7
2022-07-21,15,6
2022-07-22,12,2
2022-07-23,17,4
2022-07-24,6,1
2022-07-25,12,3
2022-07-26,23,3
2022-07-27,32,8
2022-07-28,29,8
2022-07-29,21,5
2022-07-30,10,5
2022-07-31,4,2
2022-08-01,10,5
2022-08-02,10,2
2022-08-03,6,3
2022-08-04,7,2
2022-08-05,9,5
2022-08-06,9,3
2022-08-07,2,2
2022-08-08,6,4
2022-08-09,12,5
2022-08-10,17,5
2022-08-11,19,2
2022-08-12,17,3
2022-08-13,18,2
2022-08-14,5,3
2022-08-15,6,3
2022-08-16,14,8
2022-08-17,11,7
2022-08-18,23,5
2022-08-19,16,8
2022-08-20,13,4
2022-08-21,6,2
2022-08-22,17,13
2022-08-23,31,7
2022-08-24,17,8
2022-08-25,25,10
2022-08-26,23,7
2022-08-27,10,6
2022-08-28,14,8
2022-08-29,16,10
2022-08-30,20,7
2022-08-31,10,9
2022-09-01,17,9
2022-09-02,19,13
2022-09-03,10,7
2022-09-04,3,3
2022-09-05,4,11
2022-09-06,9,11
2022-09-07,8,5
2022-09-08,12,17
2022-09-09,3,9
2022-09-10,3,2
2022-09-11,0,2
2022-09-12,3,2
2022-09-13,3,3
2022-09-14,6,3
2022-09-15,6,5
2022-09-16,7,2
2022-09-17,14,1
2022-09-18,1,7
2022-09-19,3,4
2022-09-20,6,8
2022-09-21,14,4
2022-09-22,7,3
2022-09-23,25,14
2022-09-24,8,6
2022-09-25,2,8
2022-09-26,6,9
2022-09-27,5,6
2022-09-28,10,4
2022-09-29,5,7
2022-09-30,5,10
2022-10-01,13,9
2022-10-02,5,8
2022-10-03,4,1
2022-10-04,3,12
2022-10-05,9,7
2022-10-06,15,6
2022-10-07,5,9
2022-10-08,7,3
2022-10-09,3,3
2022-10-10,14,9
2022-10-11,5,12
2022-10-12,3,8
2022-10-13,3,2
2022-10-14,12,4
2022-10-15,13,1
2022-10-16,6,4
2022-10-17,10,0
2022-10-18,9,4
2022-10-19,32,4
2022-10-20,16,4
2022-10-21,3,4
2022-10-22,9,4
2022-10-23,9,7
2022-10-24,9,8
2022-10-25,14,9
2022-10-26,4,7
2022-10-27,7,3
2022-10-28,3,8
2022-10-29,1,2
2022-10-30,0,1
2022-10-31,3,12
2022-11-01,13,3
2022-11-02,9,6
2022-11-03,13,5
2022-11-04,18,9
2022-11-05,11,5
2022-11-06,5,6
2022-11-07,19,11
2022-11-08,11,7
2022-11-09,14,6
2022-11-10,25,19
2022-11-11,23,7
2022-11-12,14,6
2022-11-13,6,8
2022-11-14,13,2
2022-11-15,11,11
2022-11-16,11,11
2022-11-17,13,5
2022-11-18,21,3
2022-11-19,9,7
2022-11-20,6,4
2022-11-21,4,4
2022-11-22,13,2
2022-11-23,35,9
2022-11-24,20,4
2022-11-25,31,14
2022-11-26,27,6
2022-11-27,7,2
2022-11-28,13,6
2022-11-29,15,9
2022-11-30,26,18
2022-12-01,28,5
2022-12-02,20,11
2022-12-03,23,4
2022-12-04,10,4
2022-12-05,34,5
2022-12-06,20,10
2022-12-07,43,9
2022-12-08,46,6
2022-12-09,37,6
2022-12-10,17,9
2022-12-11,26,1
2022-12-12,50,22
2022-12-13,52,15
2022-12-14,29,15
2022-12-15,58,27
2022-12-16,46,13
2022-12-17,35,13
2022-12-18,20,14
2022-12-19,36,17
2022-12-20,42,18
2022-12-21,52,4
2022-12-22,60,11
2022-12-23,35,10
2022-12-24,31,14
2022-12-25,3,2
2022-12-26,7,12
2022-12-27,17,9
2022-12-28,22,3
2022-12-29,22,8
2022-12-30,15,7
2022-12-31,16,6
2023-01-01,12,7
2023-01-02,25,10
2023-01-03,28,8
2023-01-04,25,15
2023-01-05,24,9
2023-01-06,28,15
2023-01-07,26,7
2023-01-08,17,13
2023-01-09,25,20
2023-01-10,30,15
2023-01-11,48,10
2023-01-12,28,14
2023-01-13,16,13
2023-01-14,14,8
2023-01-15,13,8
2023-01-16,25,9
2023-01-17,36,11
2023-01-18,37,14
2023-01-19,28,7
2023-01-20,12,10
2023-01-21,17,2
2023-01-22,6,1
2023-01-23,15,7
2023-01-24,10,2
2023-01-25,18,9
2023-01-26,12,6
2023-01-27,15,9
2023-01-28,7,10
2023-01-29,8,3
2023-01-30,24,10
2023-01-31,43,12
2023-02-01,50,15
2023-02-02,24,22
2023-02-03,15,9
2023-02-04,9,5
2023-02-05,14,1
2023-02-06,20,7
2023-02-07,16,6
2023-02-08,7,15
2023-02-09,8,12
2023-02-10,9,14
2023-02-11,8,2
2023-02-12,5,1
2023-02-13,6,6
2023-02-14,10,7
2023-02-15,14,2
2023-02-16,14,12
2023-02-17,17,15
2023-02-18,5,2
2023-02-19,9,3
2023-02-20,12,9
